Player,GP,TOI,Goals,Total_Assists,First_Assists,Second_Assists,Total_Points,IPP,Shots,SH,ixG,iCF,iFF,iSCF,iHDCF,Rush_Attempts,Rebounds_Created,PIM,Total_Penalties,Minor,Major,Misconduct,Penalties_Drawn,Giveaways,Takeaways,Hits,Hits_Taken,Shots_Blocked,TOI_GP,Goals_60,Total_Assists_60,First_Assists_60,Second_Assists_60,Total_Points_60,Shots_60,ixG_60,iCF_60,iFF_60,iSCF_60,iHDCF_60,Rush_Attempts_60,Rebounds_Created_60,PIM_60,Penalties_Drawn_60,Giveaways_60,Takeaways_60,Hits_60,Hits_Taken_60,Shots_Blocked_60,HDCA,CF1,GF1,GF_60,GA_60,HDCF,HDCF1,xGF,xGA,Off_Zone_Starts,Neu_Zone_Starts,Def_Zone_Starts,Off_Zone_Start_Pct,SF_60,SA_60,SF_Pct,HDCF_60,HDCA_60,Def_Zone_Start_Pct
Morgan Rielly,82,1946.73327636719,10,58,32,26,68,43.310001373291,221,4.51999998092651,9.92000007629395,384,290,114,16,6,20,40,20,20,0,0,9,76,40,92,133,87,23.740650177002,0.310000002384186,1.78999996185303,0.990000009536743,0.800000011920929,2.09999990463257,6.80999994277954,0.310000002384186,11.8400001525879,8.9399995803833,3.50999999046326,0.490000009536743,0.180000007152557,0.620000004768372,1.23000001907349,0.280000001192093,2.33999991416931,1.23000001907349,2.83999991416931,4.09999990463257,2.6800000667572,388,56.4799995422363,59.9199981689453,4.84000015258789,3.24000000953674,472,54.8800010681152,124.209999084473,95.5899963378906,329,329,261,55.7599983215332,38.4300003051758,31.3099994659424,55.0999984741211,14.5500001907349,11.960000038147,44.2372881355932
Victor Hedman,82,2056.14990234375,20,65,34,31,85,53.1300010681152,219,9.13000011444092,14.3100004196167,462,331,167,33,20,34,36,18,18,0,0,13,56,52,93,95,129,25.0750007629395,0.579999983310699,1.89999997615814,0.990000009536743,0.899999976158142,2.48000001907349,6.3899998664856,0.419999986886978,13.4799995422363,9.65999984741211,4.86999988555908,0.959999978542328,0.579999983310699,0.990000009536743,1.04999995231628,0.379999995231628,1.62999999523163,1.51999998092651,2.71000003814697,2.76999998092651,3.75999999046326,362,56.2000007629395,61.2999992370605,4.67000007629395,2.95000004768372,535,59.6399993896484,131,95.379997253418,368,348,262,58.4099998474121,35.6599998474121,27.0799999237061,56.8400001525879,15.6099996566772,10.5600004196167,41.5873015873016
Roman Josi,80,2043.78332519531,23,73,36,37,96,63.1599998474121,281,8.1899995803833,15.789999961853,563,385,154,28,4,37,46,23,23,0,0,18,71,48,66,138,133,25.547290802002,0.680000007152557,2.14000010490417,1.05999994277954,1.0900000333786,2.8199999332428,8.25,0.46000000834465,16.5300006866455,11.3000001907349,4.51999998092651,0.819999992847443,0.119999997317791,1.0900000333786,1.35000002384186,0.529999971389771,2.07999992370605,1.4099999666214,1.94000005722046,4.05000019073486,3.90000009536743,326,55.3499984741211,61.7900009155273,4.46000003814697,2.75999999046326,408,55.5900001525879,117.690002441406,94.8099975585938,370,383,193,65.7200012207031,35.8499984741211,30.1200008392334,54.3400001525879,11.9799995422363,9.56999969482422,34.2806394316163
Adam Fox,78,1864.76672363281,11,63,33,30,74,58.2700004577637,158,6.96000003814697,8.35999965667725,275,197,88,13,4,18,26,13,13,0,0,18,58,78,30,107,128,23.9072647094727,0.349999994039536,2.02999997138977,1.05999994277954,0.970000028610229,2.38000011444092,5.07999992370605,0.270000010728836,8.85000038146973,6.34000015258789,2.82999992370605,0.419999986886978,0.129999995231628,0.579999983310699,0.839999973773956,0.579999983310699,1.87000000476837,2.50999999046326,0.970000028610229,3.44000005722046,4.11999988555908,349,52.3400001525879,62.25,4.09000015258789,2.48000001907349,420,54.6199989318848,106.309997558594,86.3300018310547,336,308,303,52.5800018310547,32.7900009155273,27.8600006103516,54.060001373291,13.5100002288818,11.2299995422363,47.4178403755869
Kris Letang,78,2010.63330078125,10,58,34,24,68,47.8899993896484,214,4.67000007629395,10.3100004196167,403,272,117,14,7,23,49,23,22,1,0,12,79,59,171,144,122,25.7773513793945,0.300000011920929,1.73000001907349,1.00999999046326,0.720000028610229,2.02999997138977,6.3899998664856,0.310000002384186,12.0299997329712,8.11999988555908,3.49000000953674,0.419999986886978,0.209999993443489,0.689999997615814,1.46000003814697,0.360000014305115,2.35999989509583,1.75999999046326,5.09999990463257,4.30000019073486,3.64000010490417,379,54.4799995422363,61.7400016784668,4.23999977111816,2.63000011444092,483,56.0299987792969,132.360000610352,99.3399963378906,359,414,210,63.0900001525879,37.4799995422363,30.9799995422363,54.75,14.4099998474121,11.3100004196167,36.9068541300527
John Klingberg,74,1642.94995117188,6,41,24,17,47,47,139,4.32000017166138,9.25,362,210,107,10,3,22,34,17,17,0,0,13,86,16,57,170,77,22.2020263671875,0.219999998807907,1.5,0.879999995231628,0.620000004768372,1.72000002861023,5.07999992370605,0.340000003576279,13.2200002670288,7.67000007629395,3.91000008583069,0.370000004768372,0.109999999403954,0.800000011920929,1.24000000953674,0.469999998807907,3.14000010490417,0.579999983310699,2.07999992370605,6.21000003814697,2.80999994277954,319,54.4300003051758,51.2799987792969,3.65000009536743,3.47000002861023,454,58.7299995422363,102.970001220703,81.4100036621094,380,301,200,65.5199966430664,34.1100006103516,31.0100002288818,52.3800010681152,16.5799999237061,11.6499996185303,34.4827586206897
Jaccob Slavin,79,1858.86669921875,4,38,14,24,42,39.25,165,2.42000007629395,8.40999984741211,341,237,96,17,8,14,10,5,5,0,0,7,43,74,50,117,121,23.5299587249756,0.129999995231628,1.23000001907349,0.449999988079071,0.769999980926514,1.36000001430511,5.32999992370605,0.270000010728836,11.0100002288818,7.65000009536743,3.09999990463257,0.550000011920929,0.259999990463257,0.449999988079071,0.319999992847443,0.230000004172325,1.38999998569489,2.39000010490417,1.61000001430511,3.77999997138977,3.91000008583069,338,53.6300010681152,59.1199989318848,3.45000004768372,2.39000010490417,415,55.1100006103516,109.769996643066,86.120002746582,245,334,287,46.0499992370605,32.7299995422363,27.9799995422363,53.9099998474121,13.3999996185303,10.9099998474121,53.9473684210526
Rasmus Andersson,82,1858.65002441406,4,46,21,25,50,36.7599983215332,152,2.63000011444092,8.28999996185303,289,214,73,13,3,18,28,14,14,0,0,17,44,24,63,109,125,22.6664638519287,0.129999995231628,1.48000001907349,0.680000007152557,0.810000002384186,1.61000001430511,4.90999984741211,0.270000010728836,9.32999992370605,6.90999984741211,2.35999989509583,0.419999986886978,0.100000001490116,0.579999983310699,0.899999976158142,0.550000011920929,1.41999995708466,0.769999980926514,2.02999997138977,3.51999998092651,4.03999996185303,296,57.8699989318848,62.9599990844727,4.3899998664856,2.57999992370605,452,60.4300003051758,121.389999389648,79.9400024414063,337,386,254,57.0200004577637,39,27.7900009155273,58.3899993896484,14.5900001525879,9.5600004196167,42.9780033840948
Cale Makar,77,1976.43334960938,28,58,29,29,86,52.7599983215332,240,11.6700000762939,14.9099998474121,494,319,153,14,5,37,26,13,13,0,0,15,40,49,95,73,110,25.6679649353027,0.850000023841858,1.75999999046326,0.879999995231628,0.879999995231628,2.60999989509583,7.28999996185303,0.449999988079071,15,9.68000030517578,4.6399998664856,0.430000007152557,0.150000005960464,1.12000000476837,0.790000021457672,0.46000000834465,1.21000003814697,1.49000000953674,2.88000011444092,2.22000002861023,3.33999991416931,358,59.4300003051758,68.4899978637695,4.94999980926514,2.27999997138977,481,57.3300018310547,137.419998168945,86.6500015258789,441,384,252,63.6399993896484,40.9500007629395,28.3799991607666,59.060001373291,14.6000003814697,10.8699998855591,36.3636363636364
Sebastian Aho,36,592.383361816406,2,10,3,7,12,46.1500015258789,34,5.88000011444092,2.08999991416931,76,51,28,4,0,4,10,5,5,0,0,8,27,8,32,49,42,16.4550933837891,0.200000002980232,1.00999999046326,0.300000011920929,0.709999978542328,1.22000002861023,3.44000005722046,0.209999993443489,7.69999980926514,5.17000007629395,2.83999991416931,0.409999996423721,0,0.409999996423721,1.00999999046326,0.810000002384186,2.73000001907349,0.810000002384186,3.24000000953674,4.96000003814697,4.25,273,58.560001373291,62.0099983215332,2.63000011444092,3.03999996185303,404,59.6800003051758,107.76000213623,73.4000015258789,324,209,177,64.6699981689453,25.9300003051758,32.2099990844727,44.5999984741211,9.11999988555908,12.2600002288818,35.3293413173653
Sebastian Aho,36,592.383361816406,2,10,3,7,12,46.1500015258789,34,5.88000011444092,2.08999991416931,76,51,28,4,0,4,10,5,5,0,0,8,27,8,32,49,42,16.4550933837891,0.200000002980232,1.00999999046326,0.300000011920929,0.709999978542328,1.22000002861023,3.44000005722046,0.209999993443489,7.69999980926514,5.17000007629395,2.83999991416931,0.409999996423721,0,0.409999996423721,1.00999999046326,0.810000002384186,2.73000001907349,0.810000002384186,3.24000000953674,4.96000003814697,4.25,273,58.560001373291,62.0099983215332,4.44999980926514,2.73000001907349,404,59.6800003051758,107.76000213623,73.4000015258789,324,209,177,64.6699981689453,37.4000015258789,27.8199996948242,57.3400001525879,16.2000007629395,10.9399995803833,35.3293413173653
