pair,score
Radko Gudas MacKenzie Weegar,555.613000059128
Alexander Edler Matt Roy,548.833009201288
Ian Cole Jaccob Slavin,547.160994803906
Darnell Nurse Evan Bouchard,540.839997124672
Ryan Suter Miro Heiskanen,539.250007152558
MacKenzie Weegar Gustav Forsling,539.125007581711
Brady Skjei Jaccob Slavin,537.686991894245
Radko Gudas Gustav Forsling,528.798003101349
Travis Dermott Timothy Liljegren,527.116001862288
Jaccob Slavin Brett Pesce,525.883996009827
Alexander Edler Olli Maatta,525.340006351471
TJ Brodie Timothy Liljegren,516.898001718521
Justin Holl Timothy Liljegren,515.110006070137
Alec Martinez Alex Pietrangelo,508.697993814945
Duncan Keith Evan Bouchard,505.990993094444
Alexander Edler Mikey Anderson,505.880999779701
Olli Maatta Matt Roy,504.203010636568
Jake Muzzin Timothy Liljegren,500.116002583504
Duncan Keith Darnell Nurse,498.308998537064
Chad Ruhwedel Marcus Pettersson,497.608002078533
Jacob Trouba K'Andre Miller,496.485000765324
Alex Pietrangelo Zach Whitecloud,496.205992865562
Kris Russell Evan Bouchard,495.51599714756
Alex Pietrangelo Nicolas Hague,494.585989558697
Alex Pietrangelo Ben Hutton,493.440995240211
Ian Cole Brady Skjei,491.083997654915
Oliver Ekman-Larsson Travis Dermott,490.557004898787
TJ Brodie Travis Dermott,490.07600094676
Brett Kulak Evan Bouchard,490.0649959445
Dmitry Orlov Martin Fehervary,489.791990852356
Cody Ceci Evan Bouchard,489.306996691227
Justin Holl Travis Dermott,488.288005298376
Kris Russell Darnell Nurse,487.834002590179
Dmitry Orlov Nick Jensen,486.59999986887
Brian Dumoulin Marcus Pettersson,485.935005044937
Jaccob Slavin Tony DeAngelo,485.601998245716
Matt Roy Mikey Anderson,484.744004064798
Marcus Pettersson John Marino,483.729996442795
Mikhail Sergachev Jan Rutta,483.089997905493
Brett Kulak Darnell Nurse,482.383001387119
Devon Toews Cale Makar,481.791996479034
Cody Ceci Darnell Nurse,481.625002133846
Esa Lindell Miro Heiskanen,481.531995773316
Ryan Murray Devon Toews,480.496002691984
Ian Cole Brett Pesce,479.281001770496
TJ Brodie Justin Holl,478.07000515461
Joel Hanley Miro Heiskanen,477.803007721901
Alexander Edler Troy Stecher,477.536003673077
Alex Pietrangelo Brayden McNabb,476.279991865158
Alec Martinez Zach Whitecloud,475.473996150494
Alec Martinez Nicolas Hague,473.853992843628
Jake Muzzin Travis Dermott,473.294001811743
Alec Martinez Ben Hutton,472.708998525143
Ryan Suter Esa Lindell,471.51599445343
Jonas Brodin Matt Dumba,471.325998353958
Alexander Edler Tobias Bjornfot,470.728002631664
Erik Johnson Devon Toews,470.594995689392
Brady Skjei Brett Pesce,469.806998860836
Jonas Brodin Jacob Middleton,468.362003934383
Ryan Suter Joel Hanley,467.787006402016
Ben Chiarot MacKenzie Weegar,467.632999575138
Christopher Tanev Erik Gudbranson,465.792006492615
Matt Dumba Jacob Middleton,465.332003939152
P.K. Subban Damon Severson,465.302990937233
Adam Pelech Ryan Pulock,465.16599855423
Evan Bouchard Philip Broberg,464.578990244865
Zach Bogosian Jan Rutta,463.936998683214
Jacob Trouba Ryan Lindgren,463.574003994465
Timothy Liljegren Ilya Lyubushkin,463.316000401974
Jake Muzzin TJ Brodie,463.076001667976
P.K. Subban Jonas Siegenthaler,462.861994946003
Dmitry Orlov Trevor van Riemsdyk,462.742998290062
Erik Cernak Jan Rutta,462.73799430728
Nicolas Hague Zach Whitecloud,461.361991894245
Jake Muzzin Justin Holl,461.288006019592
Olli Maatta Mikey Anderson,461.251001214981
Luke Schenn Travis Dermott,460.897003644705
Zach Bogosian Mikhail Sergachev,460.815004241466
Jani Hakanpaa Miro Heiskanen,460.275007516146
Ben Hutton Zach Whitecloud,460.21699757576
Brian Dumoulin Chad Ruhwedel,459.817000472546
Josh Manson Devon Toews,459.757004010677
Erik Cernak Mikhail Sergachev,459.615999865532
Ryan Lindgren K'Andre Miller,459.05499792099
Ben Hutton Nicolas Hague,458.596994268894
Chad Ruhwedel John Marino,457.611991870403
MacKenzie Weegar Robert Hagg,457.432006299496
Ben Chiarot Radko Gudas,457.305995094776
Markus Niemelainen Evan Bouchard,457.079995727539
Darnell Nurse Philip Broberg,456.896995687485
Matt Roy Troy Stecher,456.399007958174
Alec Martinez Brayden McNabb,455.547995150089
P.K. Subban Colton White,455.431992134452
Damon Severson Jonas Siegenthaler,454.430995833874
Duncan Keith Kris Russell,452.984998559952
Dmitry Kulikov Jonas Brodin,452.644001507759
Jack Johnson Devon Toews,452.31399051547
Luke Schenn Oliver Ekman-Larsson,451.160007452965
Ryan Suter Jani Hakanpaa,450.25900619626
MacKenzie Weegar Aaron Ekblad,450.220006084442
Dmitry Kulikov Matt Dumba,449.614001512527
Matt Roy Tobias Bjornfot,449.591006916761
Hampus Lindholm Connor Clifton,449.487006127834
Darnell Nurse Markus Niemelainen,449.398001170158
Andrej Sekera Miro Heiskanen,448.44600636363
Duncan Keith Brett Kulak,447.533997356892
Radko Gudas Robert Hagg,447.105001819134
Damon Severson Colton White,447.000993022323
Duncan Keith Cody Ceci,446.775998103619
Dmitry Kulikov Jacob Middleton,446.650007092953
Brian Dumoulin John Marino,445.938994836807
Jaycob Megna Jacob Middleton,445.287005114555
P.K. Subban Ryan Graves,445.145988130569
Kyle Burroughs Travis Dermott,444.561005061865
Jonas Siegenthaler Colton White,444.559997031093
Connor Clifton Brandon Carlo,444.425009334087
Tyler Myers Travis Dermott,444.04999858737
Jamie Oleksiak Carson Soucy,443.632997226715
Brayden McNabb Zach Whitecloud,443.055994200706
Jake Walman Moritz Seider,442.215994346142
Brayden McNabb Nicolas Hague,441.435990893841
Ben Chiarot Gustav Forsling,440.818002617359
Zach Bogosian Erik Cernak,440.463000643253
Brayden McNabb Ben Hutton,440.290996575355
Radko Gudas Aaron Ekblad,439.89300160408
Tucker Poolman Travis Dermott,439.470005053282
Ian Cole Tony DeAngelo,438.999004006386
Ryan Suter Andrej Sekera,438.430005043745
Brent Burns Jacob Middleton,438.090004277229
Scott Mayfield Ryan Pulock,437.967998981476
Morgan Rielly Timothy Liljegren,437.709002995491
Jon Merrill Jonas Brodin,437.441992735863
Kris Russell Brett Kulak,437.059001410008
Damon Severson Ryan Graves,436.71498901844
Timothy Liljegren Rasmus Sandin,436.678998851776
Travis Dermott Ilya Lyubushkin,436.493999630213
Kris Russell Cody Ceci,436.301002156734
John Carlson Dmitry Orlov,435.793995857239
Oliver Ekman-Larsson Kyle Burroughs,434.824008870125
Jon Merrill Matt Dumba,434.411992740631
Tyler Myers Oliver Ekman-Larsson,434.31300239563
Ryan Graves Jonas Siegenthaler,434.27399302721
Tyson Barrie Evan Bouchard,434.160998678207
Ryan McDonagh Jan Rutta,433.946006768942
Hampus Lindholm Brandon Carlo,433.796005105972
Zdeno Chara Ryan Pulock,433.020005774498
Olli Maatta Troy Stecher,432.906005108357
Jordie Benn Jonas Brodin,432.438001430035
Christopher Tanev Rasmus Andersson,432.383995342255
Travis Hamonic Oliver Ekman-Larsson,431.818003356457
Jon Merrill Jacob Middleton,431.447998321056
Cody Ceci Brett Kulak,430.850000953674
Ryan McDonagh Mikhail Sergachev,430.824012327194
Robert Hagg Gustav Forsling,430.617009341717
Kris Letang Marcus Pettersson,430.453008008003
Oliver Ekman-Larsson Tucker Poolman,429.733008861542
Brady Skjei Tony DeAngelo,429.525001096726
Jordie Benn Matt Dumba,429.408001434803
Kevin Shattenkirk Hampus Lindholm,429.182003378868
Jaccob Slavin Ethan Bear,428.591994559765
MacKenzie Weegar Brandon Montour,427.580004668236
Ryan Graves Colton White,426.843990215659
Carson Soucy Haydn Fleury,426.837994611263
Brendan Smith Jaccob Slavin,426.751992857456
Tyson Barrie Darnell Nurse,426.479004120827
Jordie Benn Jacob Middleton,426.444007015228
TJ Brodie Ilya Lyubushkin,426.275999486446
Olli Maatta Tobias Bjornfot,426.098004066944
Justin Holl Ilya Lyubushkin,424.488003838062
Alexander Edler Sean Durzi,423.645004928112
Aaron Ekblad Gustav Forsling,423.405009126663
Troy Stecher Moritz Seider,422.249997472763
Alexander Edler Drew Doughty,422.114998459816
Duncan Keith Philip Broberg,422.047991657257
